,movie_name,year,time_in_min,genres,rating,votes,grosses
135,The Goonies,1985,114 min,"
Adventure, Comedy, Family            ",7.8,"228,962",$61.50M
136,Kingsman: The Secret Service,2014,129 min,"
Action, Adventure, Comedy            ",7.7,"567,383",$128.26M
137,The Hobbit: An Unexpected Journey,2012,169 min,"
Adventure, Family, Fantasy            ",7.8,"736,450",$303.00M
138,American History X,1998,119 min,"
Drama            ",8.5,"992,171",$6.72M
139,Braveheart,1995,178 min,"
Biography, Drama, History            ",8.3,"923,880",$75.60M
140,Silver Linings Playbook,2012,122 min,"
Comedy, Drama, Romance            ",7.7,"639,397",$132.09M
141,La vita è bella,1997,116 min,"
Comedy, Drama, Romance            ",8.6,"586,318",$57.60M
142,Pride & Prejudice,2005,129 min,"
Drama, Romance            ",7.8,"240,248",$38.41M
143,The Breakfast Club,1985,97 min,"
Comedy, Drama            ",7.9,"331,949",$45.88M
144,Kill Bill: Vol. 1,2003,111 min,"
Action, Crime, Thriller            ",8.1,"952,950",$70.10M
145,Oldeuboi,2003,120 min,"
Action, Drama, Mystery            ",8.4,"485,098",$0.71M
146,A Star Is Born,2018,136 min,"
Drama, Music, Romance            ",7.7,"301,547",$215.29M
147,Lion,2016,118 min,"
Biography, Drama            ",8.0,"196,153",$51.74M
148,One Flew Over the Cuckoo's Nest,1975,133 min,"
Drama            ",8.7,"869,955",$112.00M
149,The Social Network,2010,120 min,"
Biography, Drama            ",7.7,"591,461",$96.96M
150,Drive,2011,100 min,"
Crime, Drama            ",7.8,"545,146",$35.06M
151,Arrival,2016,116 min,"
Drama, Mystery, Sci-Fi            ",7.9,"554,590",$100.55M
152,Mystic River,2003,138 min,"
Crime, Drama, Mystery            ",7.9,"402,249",$90.14M
153,Wonder,2017,113 min,"
Drama, Family            ",8.0,"125,860",$132.42M
154,Black Swan,2010,108 min,"
Drama, Thriller            ",8.0,"672,938",$106.95M
155,Skyfall,2012,143 min,"
Action, Adventure, Thriller            ",7.7,"610,597",$304.36M
156,"Il buono, il brutto, il cattivo",1966,161 min,"
Western            ",8.8,"654,337",$6.10M
157,Warrior,2011,140 min,"
Drama, Sport            ",8.2,"418,045",$13.66M
158,Cidade de Deus,2002,130 min,"
Crime, Drama            ",8.6,"671,062",$7.56M
159,The Godfather: Part III,1990,162 min,"
Crime, Drama            ",7.6,"339,712",$66.67M
160,Some Like It Hot,1959,121 min,"
Comedy, Music, Romance            ",8.2,"231,521",$25.00M
161,Mulan,1998,88 min,"
Animation, Adventure, Family            ",7.6,"236,875",$120.62M
162,Reservoir Dogs,1992,99 min,"
Crime, Drama, Thriller            ",8.3,"873,559",$2.83M
163,Indiana Jones and the Last Crusade,1989,127 min,"
Action, Adventure            ",8.2,"661,201",$197.17M
164,Coco,2017,105 min,"
Animation, Adventure, Family            ",8.4,"327,334",$209.73M
165,Ratatouille,2007,111 min,"
Animation, Adventure, Comedy            ",8.0,"609,125",$206.45M
166,Inside Out,2015,95 min,"
Animation, Adventure, Comedy            ",8.2,"572,632",$356.46M
167,The Farewell,2019,100 min,"
Comedy, Drama            ",7.6,"34,616",$16.88M
168,Stardust,2007,127 min,"
Adventure, Family, Fantasy            ",7.6,"245,512",$38.63M
169,American Psycho,2000,101 min,"
Comedy, Crime, Drama            ",7.6,"457,426",$15.07M
170,Zombieland,2009,88 min,"
Adventure, Comedy, Horror            ",7.6,"498,703",$75.59M
171,A Clockwork Orange,1971,136 min,"
Crime, Drama, Sci-Fi            ",8.3,"722,183",-
172,The Girl with the Dragon Tattoo,2011,158 min,"
Crime, Drama, Mystery            ",7.8,"402,524",$102.52M
173,Jaws,1975,124 min,"
Adventure, Drama, Thriller            ",8.0,"524,935",$260.00M
174,Harry Potter and the Half-Blood Prince,2009,153 min,"
Action, Adventure, Family            ",7.6,"442,674",$301.96M
175,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"
Adventure, Family, Fantasy            ",7.7,"448,461",$295.98M
176,The Intouchables,2011,112 min,"
Biography, Comedy, Drama            ",8.5,"715,684",$13.18M
177,La La Land,2016,128 min,"
Comedy, Drama, Music            ",8.0,"469,343",$151.10M
178,Platoon,1986,120 min,"
Drama, War            ",8.1,"365,486",$138.53M
179,The Fifth Element,1997,126 min,"
Action, Adventure, Sci-Fi            ",7.7,"417,322",$63.54M
180,Heat,1995,170 min,"
Crime, Drama, Thriller            ",8.2,"547,301",$67.44M
181,Full Metal Jacket,1987,116 min,"
Drama, War            ",8.3,"640,849",$46.36M
182,Mononoke-hime,1997,134 min,"
Animation, Adventure, Fantasy            ",8.4,"315,292",$2.38M
183,Sin City,2005,124 min,"
Crime, Thriller            ",8.0,"727,078",$74.10M
184,Hot Fuzz,2007,121 min,"
Action, Comedy, Mystery            ",7.8,"443,351",$23.64M
185,Incredibles 2,2018,118 min,"
Animation, Action, Adventure            ",7.6,"228,519",$608.58M
186,Pan's Labyrinth,2006,118 min,"
Drama, Fantasy, War            ",8.2,"593,863",$37.63M
187,Birdman or (The Unexpected Virtue of Ignorance),2014,119 min,"
Comedy, Drama            ",7.7,"549,882",$42.34M
188,Jagten,2012,115 min,"
Drama            ",8.3,"258,977",$0.69M
189,Captain Fantastic,2016,118 min,"
Comedy, Drama            ",7.9,"172,995",$5.88M
190,Boogie Nights,1997,155 min,"
Drama            ",7.9,"228,195",$26.40M
191,Shichinin no samurai,1954,207 min,"
Action, Adventure, Drama            ",8.6,"298,906",$0.27M
192,Terminator 2: Judgment Day,1991,137 min,"
Action, Sci-Fi            ",8.5,"953,838",$204.84M
193,Aliens,1986,137 min,"
Action, Adventure, Sci-Fi            ",8.3,"625,295",$85.16M
194,About Time,2013,123 min,"
Comedy, Drama, Fantasy            ",7.8,"280,975",$15.32M
195,300,2006,117 min,"
Action, Drama            ",7.6,"711,715",$210.61M
196,Donnie Darko,2001,113 min,"
Drama, Mystery, Sci-Fi            ",8.0,"717,067",$1.48M
197,Toy Story,1995,81 min,"
Animation, Adventure, Comedy            ",8.3,"842,492",$191.80M
198,Capharnaüm,2018,126 min,"
Drama            ",8.4,"41,375",$1.66M
199,Kimi no na wa.,2016,106 min,"
Animation, Drama, Fantasy            ",8.4,"161,820",$5.02M
200,Psycho,1960,109 min,"
Horror, Mystery, Thriller            ",8.5,"567,995",$32.00M
201,True Romance,1993,119 min,"
Crime, Drama, Romance            ",7.9,"197,113",$12.28M
202,Once Upon a Time in America,1984,229 min,"
Crime, Drama            ",8.4,"293,072",$5.32M
203,Ah-ga-ssi,2016,145 min,"
Drama, Romance, Thriller            ",8.1,"94,753",$2.01M
204,Walk the Line,2005,136 min,"
Biography, Drama, Music            ",7.8,"224,800",$119.52M
205,The Notebook,2004,123 min,"
Drama, Romance            ",7.8,"495,008",$81.00M
206,Fargo,1996,98 min,"
Crime, Drama, Thriller            ",8.1,"586,157",$24.61M
207,Superbad,2007,113 min,"
Comedy            ",7.6,"501,507",$121.46M
208,Children of Men,2006,109 min,"
Drama, Thriller            ",7.9,"444,094",$35.55M
209,Captain America: Civil War,2016,147 min,"
Action, Adventure, Sci-Fi            ",7.8,"625,313",$408.08M
210,Mary Poppins,1964,139 min,"
Comedy, Family, Fantasy            ",7.8,"150,579",$102.27M
211,Sicario,2015,121 min,"
Action, Crime, Drama            ",7.6,"348,489",$46.89M
212,A Few Good Men,1992,138 min,"
Drama, Thriller            ",7.7,"223,407",$141.34M
213,Gangs of New York,2002,167 min,"
Crime, Drama            ",7.5,"387,704",$77.81M
214,The Imitation Game,2014,114 min,"
Biography, Drama, Thriller            ",8.0,"648,899",$91.13M
215,The Lives of Others,2006,137 min,"
Drama, Mystery, Thriller            ",8.4,"339,704",$11.29M
216,Hidden Figures,2016,127 min,"
Biography, Drama, History            ",7.8,"184,911",$169.61M
217,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,"
Comedy            ",8.4,"431,158",$0.28M
218,Love Actually,2003,135 min,"
Comedy, Drama, Romance            ",7.6,"409,189",$59.70M
219,2001: A Space Odyssey,1968,149 min,"
Adventure, Sci-Fi            ",8.3,"571,037",$56.95M
220,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"
Action, Adventure, Fantasy            ",8.7,"1,106,852",$290.48M
221,The Hangover,2009,100 min,"
Comedy            ",7.7,"692,221",$277.32M
222,"Lock, Stock and Two Smoking Barrels",1998,107 min,"
Comedy, Crime            ",8.2,"512,338",$3.90M
223,Lost in Translation,2003,102 min,"
Drama, Romance            ",7.7,"391,573",$44.59M
224,A Beautiful Mind,2001,135 min,"
Biography, Drama            ",8.2,"806,838",$170.74M
225,Star Wars: Episode VI - Return of the Jedi,1983,131 min,"
Action, Adventure, Fantasy            ",8.3,"907,543",$309.13M
226,Groundhog Day,1993,101 min,"
Comedy, Fantasy, Romance            ",8.0,"559,107",$70.91M
227,Captain America: The Winter Soldier,2014,136 min,"
Action, Adventure, Sci-Fi            ",7.7,"702,191",$259.77M
228,Spotlight,2015,129 min,"
Biography, Crime, Drama            ",8.1,"391,013",$45.06M
229,Once Upon a Time in the West,1968,165 min,"
Western            ",8.5,"286,089",$5.32M
230,The Last Samurai,2003,154 min,"
Action, Drama, War            ",7.7,"383,135",$111.11M
231,Into the Wild,2007,148 min,"
Adventure, Biography, Drama            ",8.1,"545,020",$18.35M
232,E.T. the Extra-Terrestrial,1982,115 min,"
Family, Sci-Fi            ",7.8,"353,219",$435.11M
233,12 Years a Slave,2013,134 min,"
Biography, Drama, History            ",8.1,"606,619",$56.67M
234,Nightcrawler,2014,117 min,"
Crime, Drama, Thriller            ",7.9,"432,365",$32.38M
235,Big Fish,2003,125 min,"
Adventure, Drama, Fantasy            ",8.0,"400,913",$66.26M
236,The Sixth Sense,1999,107 min,"
Drama, Mystery, Thriller            ",8.1,"875,923",$293.51M
237,What We Do in the Shadows,2014,86 min,"
Comedy, Horror            ",7.7,"140,926",$3.33M
238,Wait Until Dark,1967,108 min,"
Horror, Thriller            ",7.8,"26,380",$17.55M
239,Unforgiven,1992,130 min,"
Drama, Western            ",8.2,"357,086",$101.16M
240,Star Trek,2009,127 min,"
Action, Adventure, Sci-Fi            ",7.9,"566,223",$257.73M
241,The Town,2010,125 min,"
Crime, Drama, Thriller            ",7.5,"334,997",$92.19M
242,Dial M for Murder,1954,105 min,"
Crime, Thriller            ",8.2,"147,757",$0.01M
243,Dead Poets Society,1989,128 min,"
Comedy, Drama            ",8.1,"395,568",$95.86M
244,Young Frankenstein,1974,106 min,"
Comedy            ",8.0,"137,624",$86.30M
